,Unnamed: 0,Type,Company,NewGrade,URL,RawText,bow
0,0,Moody,Evergrande,B2,https://www.moodys.com/research/Moodys-downgrades-Evergrandes-bond-rating-to-B2-outlook-negative--PR_212356,,
1,1,Moody,Evergrande,B2,https://www.moodys.com/research/Moodys-downgrades-Evergrandes-rating-to-B2-outlook-negative--PR_342117,,
2,2,Moody,Evergrande,,https://www.moodys.com/research/Moodys-downgrades-Evergrandes-and-its-subsidiaries-ratings-reviews-ratings-for--PR_449727,,
3,3,Moody,Evergrande,,https://www.moodys.com/research/Moodys-downgrades-Evergrandes-and-its-subsidiaries-ratings-changes-outlook-to--PR_451820,,
4,4,Moody,Evergrande,,https://www.moodys.com/research/Moodys-downgrades-Evergrandes-and-its-subsidiaries-ratings-outlook-negative--PR_453870,,
5,5,Moody,Evergrande,,https://www.moodys.com/research/Moodys-withdraws-Evergrandes-and-its-subsidiaries-ratings-due-to-insufficient--PR_470158,,
6,6,Fitch,Evergrande,D,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-evergrande-subsidiaries-hengda-tianji-to-restricted-default-09-12-2021,,
7,7,Moody,Scenery Journey,B2,https://www.moodys.com/research/Moodys-assigns-firsttime-B1-Rating-Action--PR_390865,,
8,8,Moody,Scenery Journey,B2,https://www.moodys.com/research/Moodys-assigns-B2-to-Hengda-Rating-Action--PR_417421,,
9,9,Moody,Country Garden,Ba3,https://www.moodys.com/research/Moodys-downgrades-Country-Rating-Action--PR_177708,,
10,10,Moody,Country Garden,Ba3,https://www.moodys.com/research/Moodys-downgrades-Country-Garden-outlook-stable--PR_212116,,
11,11,Moody,Country Garden,Ba2,https://www.moodys.com/research/Moodys-downgrades-Country-Rating-Action--PR_376337,,
12,12,Moody,Country Garden,Ba1,https://www.moodys.com/research/Moodys-downgrades-Country-Rating-Action--PR_467158,,
13,13,Moody,Country Garden,Ba2,https://www.moodys.com/research/Moodys-downgrades-Country-Rating-Action--PR_469590,,
14,14,Moody,Country Garden,Ba3,https://www.moodys.com/research/Moodys-downgrades-Country-Rating-Action--PR_471168,,
15,15,Moody,Sunac,B2,https://www.moodys.com/research/Moodys-downgrades-Sunac-to-B1-outlook-stable--PR_321845,,
16,16,Moody,Sunac,B2,https://www.moodys.com/research/Moodys-downgrades-Sunac-to-B2-outlook-stable--PR_356501,,
17,17,Moody,Sunac,B2,https://www.moodys.com/research/Moodys-downgrades-Sunac-to-B1B2-changes-outlook-to-negative-from--PR_462604,,
18,18,Moody,Sunac,Caa1,https://www.moodys.com/research/Moodys-downgrades-Sunac-to-Caa1Caa2-outlook-negative--PR_464108,,
19,19,Moody,Sunac,Ca,https://www.moodys.com/research/Moodys-downgrades-Sunac-to-CaC-outlook-negative--PR_466039,,
20,20,Moody,Sunac,withdraw,https://www.moodys.com/research/Moodys-withdraws-Sunacs-ratings-due-to-insufficient-information--PR_470157,,
21,21,Moody,Shimao,Ba1,https://www.moodys.com/research/Moodys-downgrades-Shimao-to-Ba1-outlook-negative--PR_159837,,
22,22,Moody,Shimao,Ba2,https://www.moodys.com/research/Moodys-downgrades-Shimao-continues-review-for-possible-downgrade--PR_164227,,
23,23,Moody,Shimao,Ba3,https://www.moodys.com/research/Moodys-downgrades-Shimao-to-Ba3-outlook-negative--PR_169175,,
24,24,Moody,Shimao,Ba3,https://www.moodys.com/research/Moodys-downgrades-Shimao-to-Ba3-rating-remains-on-review-for--PR_460242,,
25,25,Moody,Shimao,Ba2,https://www.moodys.com/research/Moodys-downgrades-Shimao-to-B2-rating-remains-on-review-for--PR_461112,,
26,26,Moody,Shimao,Caa1,https://www.moodys.com/research/Moodys-downgrades-Shimao-to-Caa1-outlook-negative--PR_463170,,
27,27,Moody,Longfor,Baa2,https://www.moodys.com/research/Moodys-affirms-Longfors-Rating-Action--PR_470937,,
28,28,Moody,Seazen,Ba2,https://www.moodys.com/research/Moodys-places-ratings-of-Future-Land-Development-and-Seazen-on--PR_405020,,
